Year,Country,Economy (GDP per Capita),Family or social support,Health (Life Expectancy),Freedom to make life choices,Trust (Government Corruption),Generosity
2016,Honduras,0.69429,0.75596,0.58383,0.26755,0.06906,0.2044
2016,Iran,1.11758,0.38857,0.64232,0.22544,0.0557,0.38538
2016,Zambia,0.61202,0.6376,0.23573,0.42662,0.11479,0.17866
2016,Nepal,0.44626,0.69699,0.50073,0.37012,0.07008,0.3816
2016,Palestinian Territories,0.67024,0.71629,0.56844,0.17744,0.10613,0.11154
2016,Albania,0.9553,0.50163,0.73007,0.31866,0.05301,0.1684
2016,Bangladesh,0.54177,0.24749,0.52989,0.39778,0.12583,0.19132
2016,Sierra Leone,0.36485,0.628,0,0.30685,0.08196,0.23897
2016,Iraq,1.07474,0.59205,0.51076,0.24856,0.13636,0.19589
2016,Cameroon,0.52497,0.62542,0.12698,0.42736,0.06126,0.2268
2016,Ethiopia,0.29283,0.37932,0.34578,0.36703,0.1717,0.29522
2016,South Africa,1.02416,0.96053,0.18611,0.42483,0.08415,0.13656
2016,Sri Lanka,0.97318,0.84783,0.62007,0.50817,0.07964,0.46978
2016,India,0.74036,0.29247,0.45091,0.40285,0.08722,0.25028
2016,Myanmar,0.34112,0.69981,0.3988,0.42692,0.20243,0.81971
2016,Egypt,0.95395,0.49813,0.52116,0.18847,0.10393,0.12706
2016,Armenia,0.86086,0.62477,0.64083,0.14037,0.03616,0.07793
2016,Kenya,0.52267,0.7624,0.30147,0.40576,0.06686,0.41328
2016,Ukraine,0.87287,1.01413,0.58628,0.12859,0.01829,0.20363
2016,Ghana,0.63107,0.49353,0.29681,0.40973,0.0326,0.21203
2016,Congo (Kinshasa),0.05661,0.80676,0.188,0.15602,0.06075,0.25458
2016,Georgia,0.83792,0.19249,0.64035,0.32461,0.3188,0.06786
2016,Congo (Brazzaville),0.77109,0.47799,0.28212,0.37938,0.09753,0.12077
2016,Senegal,0.44314,0.77416,0.40457,0.31056,0.11681,0.19103
2016,Bulgaria,1.11306,0.92542,0.67806,0.21219,0.00615,0.12793
2016,Mauritania,0.61391,0.84142,0.28639,0.1268,0.17955,0.22686
2016,Zimbabwe,0.35041,0.71478,0.1595,0.25429,0.08582,0.18503
2016,Malawi,0.08709,0.147,0.29364,0.4143,0.07564,0.30968
2016,Gabon,1.15851,0.72368,0.3494,0.28098,0.09314,0.06244
2016,Mali,0.31292,0.86333,0.16347,0.27544,0.13647,0.21064
2016,Haiti,0.34097,0.29561,0.27494,0.12072,0.14476,0.47958
2016,Botswana,1.09426,0.89186,0.34752,0.44089,0.10769,0.12425
2016,Ivory Coast,0.55507,0.57576,0.04476,0.40663,0.1553,0.20338
2016,Cambodia,0.55604,0.5375,0.42494,0.58852,0.08092,0.40339
2016,Niger,0.1327,0.6053,0.26162,0.38041,0.17176,0.2097
2016,Chad,0.42214,0.63178,0.03824,0.12807,0.04952,0.18667
2016,Burkina Faso,0.31995,0.63054,0.21297,0.3337,0.12533,0.24353
2016,Uganda,0.34719,0.90981,0.19625,0.43653,0.06442,0.27102
2016,Yemen,0.57939,0.47493,0.31048,0.2287,0.05892,0.09821
2016,Madagascar,0.27954,0.46115,0.37109,0.13684,0.07506,0.2204
2016,Tanzania,0.47155,0.77623,0.357,0.3176,0.05099,0.31472
2016,Liberia,0.10706,0.50353,0.23165,0.25748,0.04852,0.24063
2016,Guinea,0.22415,0.3109,0.18829,0.30953,0.1192,0.29914
2016,Rwanda,0.32846,0.61586,0.31865,0.5432,0.50521,0.23552
2016,Benin,0.39499,0.10419,0.21028,0.39747,0.06681,0.2018
2016,Afghanistan,0.38227,0.11037,0.17344,0.1643,0.07112,0.31268
2016,Togo,0.28123,0,0.24811,0.34678,0.11587,0.17517
2016,Syria,0.74719,0.14866,0.62994,0.06912,0.17233,0.48397
2016,Burundi,0.06831,0.23442,0.15747,0.0432,0.09419,0.2029
2016,World Average,0.97031014,0.803121888,0.57208028,0.372185035,0.13631951,0.242039021
2017,Norway,1.616463184,1.53352356,0.796666503,0.635422587,0.315963835,0.362012237
2017,Denmark,1.482383013,1.551121593,0.792565525,0.626006722,0.400770068,0.355280489
2017,Iceland,1.48063302,1.610574007,0.833552122,0.627162635,0.153526559,0.475540221
2017,Switzerland,1.564979553,1.516911745,0.858131289,0.620070577,0.367007285,0.290549278
2017,Finland,1.443571925,1.540246725,0.80915767,0.617950857,0.382611543,0.245482773
2017,Netherlands,1.503944635,1.428939223,0.810696125,0.585384488,0.282661825,0.47048983
2017,Canada,1.479204416,1.481348991,0.834557652,0.611100912,0.287371516,0.435539722
2017,New Zealand,1.405706048,1.548195124,0.816759706,0.61406213,0.382816702,0.500005126
2017,Sweden,1.494387269,1.478162169,0.830875158,0.612924099,0.384398729,0.385399252
2017,Australia,1.484414935,1.510041952,0.843886793,0.601607382,0.30118373,0.47769925
2017,Israel,1.375382423,1.376289964,0.838404,0.405988604,0.0852421,0.330082655
2017,Costa Rica,1.109706283,1.416403651,0.759509265,0.58013165,0.100106589,0.214613229
2017,Austria,1.487097263,1.459944963,0.815328419,0.56776619,0.221060365,0.316472322
2017,United States,1.546259284,1.419920564,0.774286628,0.505740523,0.135638788,0.392578781
2017,Ireland,1.535706639,1.558231115,0.809782624,0.573110342,0.298388153,0.427858323
2017,Germany,1.487923384,1.472520351,0.798950732,0.562511384,0.276731938,0.33626917
2017,Belgium,1.463780761,1.462312698,0.818091869,0.539770722,0.251343131,0.231503338
2017,Luxembourg,1.741943598,1.457583666,0.845089495,0.596627891,0.318834424,0.283180982
2017,United Kingdom,1.44163394,1.49646008,0.805335939,0.508190036,0.265428066,0.492774159
2017,Chile,1.25278461,1.284024954,0.819479704,0.376895279,0.082287982,0.326662421
2017,United Arab Emirates,1.626343369,1.266410232,0.726798236,0.60834527,0.324489564,0.360941947
2017,Brazil,1.10735321,1.431306005,0.616552353,0.437453747,0.111092761,0.162349895
2017,Czech Republic,1.352682352,1.433885217,0.754444003,0.490946174,0.036872927,0.088106759
2017,Argentina,1.185295463,1.440451145,0.695137084,0.494519204,0.059739888,0.109457061
2017,Mexico,1.153183818,1.21086216,0.709978998,0.412730008,0.132774115,0.120990433
2017,Singapore,1.69227767,1.353814363,0.949492395,0.549840569,0.464307785,0.345965981
2017,Malta,1.343279839,1.488411665,0.821944237,0.588767052,0.153066069,0.574730575
2017,Uruguay,1.217559695,1.412227869,0.719216824,0.579392254,0.178061873,0.175096929
2017,Guatemala,0.872001946,1.255585194,0.54023999,0.531310618,0.077223279,0.283488393
2017,Panama,1.233748436,1.373192549,0.706156135,0.550026834,0.070983924,0.210556939
2017,France,1.430923462,1.387776852,0.844465852,0.470222116,0.172502428,0.129762307
2017,Thailand,1.127868772,1.425792456,0.647239029,0.580200732,0.031612735,0.57212311
2017,Taiwan,1.433626533,1.384565353,0.793984234,0.361466587,0.063829236,0.258360475
2017,Spain,1.384397864,1.532090902,0.8889606,0.40878123,0.070914097,0.190133572
2017,Qatar,1.870765686,1.27429688,0.710098088,0.604130983,0.439299256,0.33047387
2017,Colombia,1.070622325,1.402182937,0.595027924,0.477487415,0.046668742,0.149014473
2017,Saudi Arabia,1.530623555,1.286677599,0.59014833,0.449750572,0.273432255,0.147616014
2017,Kuwait,1.632952452,1.259698749,0.632105708,0.496337593,0.21515955,0.228289798
2017,Slovakia,1.325393558,1.505059242,0.712732911,0.295817465,0.024210852,0.136544481
2017,Bahrain,1.488412261,1.323110461,0.653133035,0.536746919,0.25704217,0.172668487
2017,Malaysia,1.29121542,1.284646034,0.618784428,0.402264982,0.065600708,0.41660893
2017,Nicaragua,0.737299204,1.28721571,0.653095961,0.447551847,0.130687982,0.301674217
2017,Ecuador,1.000820398,1.286168814,0.685636222,0.455198199,0.140134647,0.150112465
2017,El Salvador,0.909784496,1.182125092,0.596018553,0.43245253,0.08998096,0.078257985
2017,Poland,1.291787863,1.44571197,0.699475348,0.520342112,0.059307806,0.158465967
2017,Uzbekistan,0.786441088,1.54896915,0.498272628,0.658248663,0.246528223,0.415983647
2017,Italy,1.395066619,1.444923282,0.853144348,0.256450713,0.028028091,0.172789648
2017,Russia,1.281778097,1.469282389,0.547349334,0.373783112,0.032962881,0.052263822
2017,Japan,1.416915178,1.436337829,0.913475871,0.505625546,0.163760737,0.120572768
2017,Lithuania,1.314582348,1.473516107,0.62894994,0.234231785,0.011865643,0.010164657
2017,Algeria,1.091864467,1.146217465,0.617584646,0.233335808,0.14609611,0.069436647
2017,Latvia,1.260748625,1.404714942,0.638566971,0.325707912,0.073842727,0.153074786
2017,South Korea,1.401678443,1.128274441,0.900214076,0.257921666,0.063282669,0.206674367
2017,Moldova,0.72887063,1.251825571,0.589465201,0.240729049,0.010091286,0.208779126
2017,Romania,1.217683911,1.15009129,0.685158312,0.457003742,0.004387901,0.133519918
2017,Bolivia,0.833756566,1.227619052,0.47363025,0.558732927,0.060477726,0.225560725
2017,Turkmenistan,1.130776763,1.493149161,0.43772608,0.418271929,0.25927034,0.249924988
2017,Kazakhstan,1.28455627,1.384369016,0.606041551,0.437454283,0.119282886,0.201964423
2017,Slovenia,1.341205955,1.452518821,0.790828228,0.572575808,0.045128979,0.242649093
2017,Peru,1.035225272,1.218770385,0.630166113,0.450002879,0.047049087,0.126819715
2017,Mauritius,1.189395547,1.20956099,0.638007462,0.491247326,0.042181555,0.360933751
2017,Cyprus,1.355938077,1.131363273,0.844714701,0.355111539,0.041237976,0.271254301
2017,Estonia,1.32087934,1.4766711,0.695168316,0.47913143,0.183248922,0.098890811
2017,Belarus,1.15655756,1.444945216,0.637714267,0.295400262,0.156313822,0.155137509
2017,Libya,1.101803064,1.35756433,0.52016902,0.46573323,0.09261021,0.152073666
2017,Turkey,1.198274374,1.337753177,0.637605608,0.3007406,0.09967158,0.046693042
2017,Paraguay,0.932537317,1.50728488,0.579250693,0.473507792,0.091065913,0.224150658
2017,Hong Kong,1.551674843,1.262790918,0.943062425,0.490968645,0.293933749,0.374465793
2017,Philippines,0.857699215,1.253917575,0.468009055,0.585214674,0.099331893,0.193513423
2017,Serbia,1.069317579,1.258189797,0.650784671,0.208715528,0.040903781,0.220125884
2017,Jordan,0.991012394,1.239088893,0.604590058,0.418421149,0.119803272,0.17217046
2017,Hungary,1.286011934,1.343133092,0.687763453,0.175863519,0.036636937,0.078401662
2017,Jamaica,0.925579309,1.368218064,0.641022384,0.474307239,0.055267781,0.233818337
2017,Croatia,1.222556233,0.967983007,0.701288521,0.255772293,0.04310311,0.248002976
2017,Kosovo,0.951484382,1.137853503,0.54145205,0.260287941,0.057471618,0.319931448
2017,China,1.081165791,1.160837412,0.741415501,0.472787708,0.022794275,0.028806841
2017,Pakistan,0.726883531,0.67269069,0.402047783,0.235215262,0.124348067,0.315446019
2017,Indonesia,0.995538592,1.274444699,0.492345721,0.443323463,0.015317135,0.611704588
2017,Venezuela,1.128431201,1.431337595,0.617144227,0.153997123,0.064491123,0.06501963
2017,Montenegro,1.121129036,1.238376498,0.667464674,0.194989055,0.088174194,0.197911024
2017,Morocco,0.878114581,0.774864435,0.597710669,0.408158332,0.087763183,0.032209955
2017,Azerbaijan,1.153601766,1.152400255,0.540775776,0.398155838,0.180987507,0.04526934
2017,Dominican Republic,1.079373837,1.402416706,0.574873745,0.552589834,0.113945253,0.18696785
2017,Greece,1.289487481,1.239414573,0.810198903,0.095731251,0.043289777,0
2017,Lebanon,1.074987531,1.129624248,0.735081077,0.288515985,0.03751383,0.264450759
2017,Portugal,1.315175295,1.367043018,0.795843542,0.4984653,0.015869452,0.095102713
2017,Bosnia and Herzegovina,0.982409418,1.069335938,0.705186307,0.204403177,0,0.328867495
2017,Honduras,0.730573118,1.143944979,0.58256948,0.34807986,0.073345453,0.236188874
2017,Vietnam,0.788547575,1.277491331,0.652168989,0.571055591,0.087633237,0.234968051
2017,Nigeria,0.783756256,1.215770483,0.05691573,0.394952565,0.026121566,0.230947196
2017,Tajikistan,0.524713635,1.271463275,0.529235125,0.471566707,0.146377146,0.248997644
2017,Bhutan,0.885416389,1.340126514,0.495879292,0.501537681,0.17338039,0.474054545
2017,Kyrgyzstan,0.596220076,1.394238591,0.553457797,0.454943389,0.039439179,0.428580374
2017,Nepal,0.479820192,1.179283261,0.504130781,0.440305948,0.072975546,0.394096166
2017,Mongolia,1.027235866,1.493011236,0.557783484,0.394143969,0.032902289,0.33846423
2017,South Africa,1.054698706,1.384788632,0.18708007,0.479246736,0.072509497,0.13936238
2017,Tunisia,1.007265806,0.86835146,0.613212049,0.28968069,0.086723149,0.049693357
2017,Palestinian Territories,0.716249228,1.155647159,0.565666974,0.254711062,0.089282602,0.114173174
2017,Egypt,0.989701807,0.997471392,0.520187259,0.282110155,0.114381365,0.128631443
2017,Bulgaria,1.161459088,1.434379458,0.70821768,0.289231718,0.011051531,0.113177694
2017,Sierra Leone,0.368420929,0.984136045,0.005564754,0.318697691,0.071095176,0.293040901
2017,Cameroon,0.564305365,0.946018219,0.132892117,0.430388749,0.051306631,0.236298457
2017,Iran,1.156873107,0.711551249,0.639333189,0.249322608,0.048761073,0.387242913
2017,Albania,0.996192753,0.803685248,0.731159747,0.381498635,0.039864216,0.201312944
2017,Bangladesh,0.586682975,0.735131741,0.533241034,0.478356659,0.123717859,0.172255352
2017,Kenya,0.560479462,1.067950726,0.30998835,0.452763766,0.064641319,0.444860309
2017,Myanmar,0.36711055,1.123235941,0.397522569,0.514492035,0.188816205,0.838075161
2017,Senegal,0.479309022,1.179691911,0.409362853,0.377922267,0.115460448,0.183468893
2017,Zambia,0.636406779,1.003187299,0.257835895,0.461603492,0.07821355,0.249580145
2017,Iraq,1.102710485,0.978613198,0.50118047,0.288555533,0.107215755,0.199637264
2017,Gabon,1.198210239,1.155620217,0.356578588,0.312328577,0.076046787,0.043785378
2017,Ethiopia,0.339233845,0.864669204,0.353409708,0.408842742,0.165455714,0.31265074
2017,Sri Lanka,1.009850144,1.259976387,0.625130832,0.561213255,0.073653966,0.490863562
2017,Armenia,0.900596738,1.007483721,0.637524426,0.198303267,0.026674422,0.083488092
2017,India,0.792221248,0.754372597,0.455427617,0.469987005,0.092226885,0.231538489
2017,Mauritania,0.648457289,1.27203083,0.28534928,0.096098043,0.136957005,0.201870024
2017,Congo (Brazzaville),0.808964252,0.832044363,0.289957434,0.435025871,0.079618134,0.120852128
2017,Georgia,0.950612664,0.570614934,0.649546981,0.309410036,0.251666635,0.054008815
2017,Congo (Kinshasa),0.092102349,1.229023457,0.191407025,0.235961348,0.060241356,0.246455833
2017,Mali,0.476180494,1.281473398,0.169365674,0.306613743,0.104970247,0.183354199
2017,Ivory Coast,0.603048921,0.90478003,0.04864217,0.447706193,0.130061775,0.20123747
2017,Cambodia,0.601765096,1.006238341,0.429783404,0.633375823,0.068105951,0.385922968
2017,Ghana,0.667224824,0.873664737,0.295637727,0.423026294,0.02533637,0.256923944
2017,Ukraine,0.894651949,1.394537568,0.575903952,0.122974776,0.023029471,0.270061463
2017,Uganda,0.381430715,1.129827738,0.217632607,0.443185955,0.057069719,0.325766057
2017,Burkina Faso,0.350227714,1.043280005,0.215844259,0.324367851,0.120328106,0.250864685
2017,Niger,0.161925331,0.993025005,0.268505007,0.363658696,0.138572946,0.228673846
2017,Malawi,0.233442038,0.512568831,0.315089583,0.466914654,0.072711654,0.28717047
2017,Chad,0.438012987,0.953855872,0.041134715,0.162342027,0.053581882,0.21611385
2017,Zimbabwe,0.375846535,1.083095908,0.196763754,0.336384207,0.095375381,0.189143494
2017,Afghanistan,0.401477218,0.581543326,0.180746779,0.10617952,0.06115783,0.311870933
2017,Botswana,1.122094154,1.221554995,0.341755509,0.505196333,0.098583199,0.099348448
2017,Benin,0.431085408,0.435299844,0.209930211,0.425962776,0.060929015,0.207948461
2017,Madagascar,0.305808693,0.913020372,0.375223309,0.189196765,0.067231975,0.20873253
2017,Haiti,0.368610263,0.640449822,0.27732113,0.030369857,0.09987215,0.489203781
2017,Yemen,0.591683447,0.935382247,0.310080916,0.249463722,0.056767423,0.104125209
2017,Liberia,0.119041793,0.872117937,0.229918197,0.332881182,0.038948249,0.266549885
2017,Guinea,0.24454993,0.791244686,0.194129139,0.348587513,0.110937618,0.264815092
