Country,Economy (GDP per Capita),Family or social support,Health (Life Expectancy),Freedom to make life choices,Trust (Government Corruption),Generosity
Afghanistan,0.35,0.517,0.361,0,0.025,0.158
Albania,0.947,0.848,0.874,0.383,0.027,0.178
Algeria,1.002,1.16,0.785,0.086,0.114,0.073
Argentina,1.092,1.432,0.881,0.471,0.05,0.066
Armenia,0.85,1.055,0.815,0.283,0.064,0.095
Australia,1.372,1.548,1.036,0.557,0.29,0.332
Austria,1.376,1.475,1.016,0.532,0.226,0.244
Azerbaijan,1.043,1.147,0.769,0.351,0.182,0.035
Bahrain,1.362,1.368,0.871,0.536,0.11,0.255
Bangladesh,0.562,0.928,0.723,0.527,0.143,0.166
Belarus,1.067,1.465,0.789,0.235,0.142,0.094
Belgium,1.356,1.504,0.986,0.473,0.21,0.16
Benin,0.393,0.437,0.397,0.349,0.082,0.175
Bhutan,0.813,1.321,0.604,0.457,0.167,0.37
Bolivia,0.776,1.209,0.706,0.511,0.064,0.137
Bosnia and Herzegovina,0.945,1.212,0.845,0.212,0.006,0.263
Botswana,1.041,1.145,0.538,0.455,0.1,0.025
Brazil,1.004,1.439,0.802,0.39,0.086,0.099
Bulgaria,1.092,1.513,0.815,0.311,0.004,0.081
Burkina Faso,0.331,1.056,0.38,0.255,0.113,0.177
Burundi,0.046,0.447,0.38,0.22,0.18,0.176
Cambodia,0.574,1.122,0.637,0.609,0.062,0.232
Cameroon,0.549,0.91,0.331,0.381,0.037,0.187
Canada,1.365,1.505,1.039,0.584,0.308,0.285
Chad,0.35,0.766,0.192,0.174,0.078,0.198
Chile,1.159,1.369,0.92,0.357,0.056,0.187
China,1.029,1.125,0.893,0.521,0.1,0.058
Colombia,0.985,1.41,0.841,0.47,0.034,0.099
Congo (Brazzaville),0.673,0.799,0.508,0.372,0.093,0.105
Congo (Kinshasa),0.094,1.125,0.357,0.269,0.053,0.212
Costa Rica,1.034,1.441,0.963,0.558,0.093,0.144
Croatia,1.155,1.266,0.914,0.296,0.022,0.119
Cyprus,1.263,1.223,1.042,0.406,0.041,0.19
Czech Republic,1.269,1.487,0.92,0.457,0.036,0.046
Denmark,1.383,1.573,0.996,0.592,0.41,0.252
Dominican Republic,1.015,1.401,0.779,0.497,0.101,0.113
Ecuador,0.912,1.312,0.868,0.498,0.087,0.126
Egypt,0.913,1.039,0.644,0.241,0.067,0.076
El Salvador,0.794,1.242,0.789,0.43,0.074,0.093
Estonia,1.237,1.528,0.874,0.495,0.161,0.103
Ethiopia,0.336,1.033,0.532,0.344,0.1,0.209
Finland,1.34,1.587,0.986,0.596,0.393,0.153
France,1.324,1.472,1.045,0.436,0.183,0.111
Gabon,1.057,1.183,0.571,0.295,0.055,0.043
Georgia,0.886,0.666,0.752,0.346,0.164,0.043
Germany,1.373,1.454,0.987,0.495,0.265,0.261
Ghana,0.611,0.868,0.486,0.381,0.04,0.245
Greece,1.181,1.156,0.999,0.067,0.034,0
Guatemala,0.8,1.269,0.746,0.535,0.078,0.175
Guinea,0.38,0.829,0.375,0.332,0.086,0.207
Haiti,0.323,0.688,0.449,0.026,0.11,0.419
Honduras,0.642,1.236,0.828,0.507,0.078,0.246
Hong Kong,1.438,1.277,1.122,0.44,0.287,0.258
Hungary,1.201,1.41,0.828,0.199,0.02,0.081
Iceland,1.38,1.624,1.026,0.591,0.118,0.354
India,0.755,0.765,0.588,0.498,0.085,0.2
Indonesia,0.931,1.203,0.66,0.491,0.028,0.498
Iran,1.1,0.842,0.785,0.305,0.125,0.27
Iraq,1.043,0.98,0.574,0.241,0.089,0.148
Ireland,1.499,1.553,0.999,0.516,0.31,0.298
Israel,1.276,1.455,1.029,0.371,0.082,0.261
Italy,1.294,1.488,1.039,0.231,0.03,0.158
Ivory Coast,0.569,0.808,0.232,0.352,0.09,0.154
Jamaica,0.831,1.478,0.831,0.49,0.028,0.107
Japan,1.327,1.419,1.088,0.445,0.14,0.069
Jordan,0.837,1.225,0.815,0.383,0.13,0.11
Kazakhstan,1.173,1.508,0.729,0.41,0.096,0.146
Kenya,0.512,0.983,0.581,0.431,0.053,0.372
Kosovo,0.882,1.232,0.758,0.489,0.006,0.262
Kuwait,1.5,1.319,0.808,0.493,0.097,0.142
Kyrgyzstan,0.551,1.438,0.723,0.508,0.023,0.3
Latvia,1.187,1.465,0.812,0.264,0.064,0.075
Lebanon,0.987,1.224,0.815,0.216,0.027,0.166
Liberia,0.073,0.922,0.443,0.37,0.033,0.233
Libya,1.044,1.303,0.673,0.416,0.152,0.133
Lithuania,1.238,1.515,0.818,0.291,0.042,0.043
Luxembourg,1.609,1.479,1.012,0.526,0.316,0.194
Madagascar,0.274,0.916,0.555,0.148,0.041,0.169
Malawi,0.191,0.56,0.495,0.443,0.089,0.218
Malaysia,1.221,1.171,0.828,0.508,0.024,0.26
Mali,0.385,1.105,0.308,0.327,0.052,0.153
Malta,1.3,1.52,0.999,0.564,0.151,0.375
Mauritania,0.57,1.167,0.489,0.066,0.088,0.106
Mauritius,1.12,1.402,0.798,0.498,0.06,0.215
Mexico,1.07,1.323,0.861,0.433,0.073,0.074
Moldova,0.685,1.328,0.739,0.245,0,0.181
Mongolia,0.948,1.531,0.667,0.317,0.038,0.235
Montenegro,1.051,1.361,0.871,0.197,0.08,0.142
Morocco,0.801,0.782,0.782,0.418,0.076,0.036
Myanmar,0.71,1.181,0.555,0.525,0.172,0.566
Nepal,0.446,1.226,0.677,0.439,0.089,0.285
Netherlands,1.396,1.522,0.999,0.557,0.298,0.322
New Zealand,1.303,1.557,1.026,0.585,0.38,0.33
Nicaragua,0.694,1.325,0.835,0.435,0.127,0.2
Niger,0.138,0.774,0.366,0.318,0.102,0.188
Nigeria,0.696,1.111,0.245,0.426,0.041,0.215
Norway,1.488,1.582,1.028,0.603,0.341,0.271
Pakistan,0.677,0.886,0.535,0.313,0.098,0.22
Palestinian Territories,0.657,1.247,0.672,0.225,0.066,0.103
Panama,1.149,1.442,0.91,0.516,0.054,0.109
Paraguay,0.855,1.475,0.777,0.514,0.08,0.184
Peru,0.96,1.274,0.854,0.455,0.027,0.083
Philippines,0.807,1.293,0.657,0.558,0.107,0.117
Poland,1.206,1.438,0.884,0.483,0.05,0.117
Portugal,1.221,1.431,0.999,0.508,0.025,0.047
Qatar,1.684,1.313,0.871,0.555,0.167,0.22
Romania,1.162,1.232,0.825,0.462,0.005,0.083
Russia,1.183,1.452,0.726,0.334,0.031,0.082
Rwanda,0.359,0.711,0.614,0.555,0.411,0.217
Saudi Arabia,1.403,1.357,0.795,0.439,0.132,0.08
Senegal,0.45,1.134,0.571,0.292,0.072,0.153
Serbia,1.004,1.383,0.854,0.282,0.039,0.137
Sierra Leone,0.268,0.841,0.242,0.309,0.045,0.252
Singapore,1.572,1.463,1.141,0.556,0.453,0.271
Slovakia,1.246,1.504,0.881,0.334,0.014,0.121
Slovenia,1.258,1.523,0.953,0.564,0.057,0.144
South Africa,0.96,1.351,0.469,0.389,0.055,0.13
South Korea,1.301,1.219,1.036,0.159,0.056,0.175
Spain,1.286,1.484,1.062,0.362,0.079,0.153
Sri Lanka,0.949,1.265,0.831,0.47,0.047,0.244
Sweden,1.387,1.487,1.009,0.574,0.373,0.267
Switzerland,1.452,1.526,1.052,0.572,0.343,0.263
Syria,0.619,0.378,0.44,0.013,0.141,0.331
Taiwan,1.368,1.43,0.914,0.351,0.097,0.242
Tajikistan,0.493,1.098,0.718,0.389,0.144,0.23
Tanzania,0.476,0.885,0.499,0.417,0.147,0.276
Thailand,1.05,1.409,0.828,0.557,0.028,0.359
Togo,0.275,0.572,0.41,0.293,0.085,0.177
Tunisia,0.921,1,0.815,0.167,0.055,0.059
Turkey,1.183,1.36,0.808,0.195,0.106,0.083
Turkmenistan,1.052,1.538,0.657,0.394,0.028,0.244
Uganda,0.332,1.069,0.443,0.356,0.06,0.252
Ukraine,0.82,1.39,0.739,0.178,0.01,0.187
United Arab Emirates,1.503,1.31,0.825,0.598,0.182,0.262
United Kingdom,1.333,1.538,0.996,0.45,0.278,0.348
United States,1.433,1.457,0.874,0.454,0.128,0.28
Uruguay,1.124,1.465,0.891,0.523,0.15,0.127
Uzbekistan,0.745,1.529,0.756,0.631,0.24,0.322
Venezuela,0.96,1.427,0.805,0.154,0.047,0.064
Vietnam,0.741,1.346,0.851,0.543,0.073,0.147
World Average,0.93472028,1.230321678,0.750755245,0.39551049,0.110594406,0.184174825
Yemen,0.287,1.163,0.463,0.143,0.077,0.108
Zambia,0.578,1.058,0.426,0.431,0.087,0.247
Zimbabwe,0.366,1.114,0.433,0.361,0.089,0.151